,row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,lbw,runningpos,finishtime,winodds,date,raceno,class,distance,going,handicap,course,stake,venue,horse_ch,jockey_ch,trainer_ch,class_ch,going_ch,handicap_ch,course_ch,venue_ch
21,0,1,1.0,LONDON CITY(T080),H N Wong,K L Man,123.0,1128.0,9.0,-,1 1 1 1,1.21.99,8.4,2015-11-08,1,5,1400,GOOD,MARIA GALLAND HANDICAP,TURF - C+3 COURSE,600000,Sha Tin,旅英駿爵(T080),黃皓楠,文家良,1,好地,ＭＡＲＩＡ　ＧＡＬＬＡＮＤ讓賽,草地 - C+3 賽道,沙田
22,0,1,6.0,SAFARI MAGIC(N166),J Moreira,Y S Tsui,128.0,1119.0,4.0,-,9 7 1,0.57.85,4.5,2015-11-11,1,5,1000,GOOD,ABERDEEN HANDICAP,TURF - B COURSE,600000,Happy Valley,野外桃源(N166),莫雷拉,徐雨石,1,好地,香港仔讓賽,草地 - B 賽道,跑馬地
23,0,1,9.0,GOLD PRECIOUS(P364),Z Purton,Y S Tsui,129.0,1187.0,3.0,-,6 4 1,1.10.50,4.8,2015-11-14,1,5,1200,GOOD,PANASONIC DRIVING VIDEO RECORDER HANDICAP,TURF - A+3 COURSE,600000,Sha Tin,金銀花(P364),潘頓,徐雨石,1,好地,ＰＡＮＡＳＯＮＩＣ路路亨通行車記錄器讓賽,草地 - A+3 賽道,沙田
24,0,1,14.0,CRIMSON HEART(P237),J Moreira,A T Millard,115.0,1096.0,6.0,-,4 6 4 1,1.38.82,5.4,2015-11-18,1,5,1650,GOOD,BATTERY PATH HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,赤驥(P237),莫雷拉,苗禮德,1,好地,炮台里讓賽,全天候跑道,沙田
25,0,1,8.0,BRILLIANT MONKEYS(S283),J Moreira,C W Chang,125.0,1122.0,14.0,-,4 3 4 1,1.23.05,5.8,2015-11-21,1,5,1400,GOOD,TUNG CHUNG HANDICAP,TURF - B+2 COURSE,600000,Sha Tin,四小福(S283),莫雷拉,鄭俊偉,1,好地,東涌讓賽,草地 - B+2 賽道,沙田
26,0,1,1.0,OUR HONOUR(S324),B Prebble,W Y So,132.0,1124.0,1.0,-,5 6 1,1.11.53,5.4,2015-11-25,1,5,1200,GOOD,DUMBARTON HANDICAP,TURF - C COURSE,600000,Happy Valley,賞面(S324),柏寶,蘇偉賢,1,好地,東寶庭讓賽,草地 - C 賽道,跑馬地
27,0,1,6.0,AZTEC EMPIRE(T064),B Prebble,W Y So,127.0,1144.0,9.0,-,6 7 5 1,1.34.76,12.0,2015-11-29,1,5,1600,GOOD,CHEVALIER ALUMINIUM ENGINEERING HANDICAP,TURF - C COURSE,600000,Sha Tin,神威福將(T064),柏寶,蘇偉賢,1,好地,其士鋁工程讓賽,草地 - C 賽道,沙田
28,0,1,1.0,PEACE COMBINATION(T091),Z Purton,C Fownes,133.0,1079.0,6.0,-,2 2 1,0.58.19,3.4,2015-12-02,1,5,1000,GOOD,BELLFLOWER HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,和平開心(T091),潘頓,方嘉柏,1,好地,風鈴花讓賽,草地 - C+3 賽道,跑馬地
29,0,1,4.0,EASY HEDGE(T409),J Moreira,J Size,127.0,1111.0,11.0,-,2 3 4 1,1.23.43,1.4,2015-12-06,1,4,1400,GOOD,ASHLEY HANDICAP,TURF - C+3 COURSE,800000,Sha Tin,精算博奕(T409),莫雷拉,蔡約翰,1,好地,亞士厘讓賽,草地 - C+3 賽道,沙田
30,0,1,12.0,FUNNY FORTUNE(P227),J Moreira,L Ho,118.0,1111.0,8.0,-,2 2 1 1,1.41.14,3.5,2015-12-09,1,5,1650,GOOD TO YIELDING,NEW ZEALAND HANDICAP,TURF - A COURSE,600000,Happy Valley,得意財星(P227),莫雷拉,何良,1,好地至黏地,紐西蘭讓賽,草地 - A 賽道,跑馬地
31,0,1,10.0,JOLLY JOLLY(T087),K Teetan,P O'Sullivan,114.0,1214.0,13.0,-,1 1 1 1,1.22.05,2.6,2015-12-13,1,3,1400,GOOD,SILENT WITNESS HANDICAP,TURF - A COURSE,1165000,Sha Tin,再開心(T087),田泰安,蘇保羅,1,好地,精英大師讓賽,草地 - A 賽道,沙田
32,0,1,12.0,VIVA GUY(K318),K Teetan,L Ho,113.0,1075.0,6.0,-,9 10 6 1 1,1.51.31,10.0,2015-12-16,1,5,1800,GOOD,SWAN HANDICAP,TURF - B COURSE,600000,Happy Valley,奄尖大少(K318),田泰安,何良,1,好地,天鵝讓賽,草地 - B 賽道,跑馬地
33,0,1,7.0,BRILLIANT MONKEYS(S283),J Moreira,C W Chang,130.0,1123.0,4.0,-,10 8 6 1,1.23.00,1.9,2015-12-19,1,5,1400,GOOD,DUNDAS HANDICAP,TURF - C+3 COURSE,600000,Sha Tin,四小福(S283),莫雷拉,鄭俊偉,1,好地,登打士讓賽,草地 - C+3 賽道,沙田
34,0,1,5.0,SOUTHCHINA COMMAND(S290),G Benoist,C Fownes,126.0,1102.0,10.0,-,9 11 10 1,1.40.51,17.0,2015-12-23,1,5,1650,GOOD,URANUS HANDICAP,TURF - C COURSE,600000,Happy Valley,南華勇將(S290),貝諾華,方嘉柏,1,好地,天王星讓賽,草地 - C 賽道,跑馬地
35,0,1,8.0,O'SOCOOLE(S032),J Moreira,D J Hall,127.0,1040.0,7.0,-,8 7 1,1.10.99,2.4,2015-12-27,1,5,1200,GOOD,WONG YI CHAU HANDICAP,TURF - A+3 COURSE,600000,Sha Tin,喜威威(S032),莫雷拉,賀賢,1,好地,黃宜洲讓賽,草地 - A+3 賽道,沙田
36,0,1,12.0,DOUBLE POINT(S246),N Callan,C Fownes,123.0,990.0,3.0,-,4 3 3 1,1.23.30,6.4,2016-01-01,1,5,1400,GOOD,WONG LENG HANDICAP,TURF - B+2 COURSE,600000,Sha Tin,通勝(S246),郭能,方嘉柏,1,好地,黃嶺讓賽,草地 - B+2 賽道,沙田
37,0,1,7.0,MASTER VIKING(S385),K Teetan,A T Millard,125.0,1137.0,2.0,-,1 1 1,1.10.59,5.1,2016-01-06,1,5,1200,GOOD,PATERSON HANDICAP,TURF - A COURSE,600000,Happy Valley,多多勁驥(S385),田泰安,苗禮德,1,好地,百德新讓賽,草地 - A 賽道,跑馬地
38,0,1,11.0,RAGING BULL(S370),C Y Ho,J Size,117.0,1124.0,6.0,-,5 4 1,1.09.64,3.4,2016-01-09,1,4,1200,GOOD,YIN KONG HANDICAP,TURF - C COURSE,800000,Sha Tin,精算追擊(S370),何澤堯,蔡約翰,1,好地,燕崗讓賽,草地 - C 賽道,沙田
39,0,1,6.0,SPICY SIAM(N090),C Y Ho,D E Ferraris,122.0,1082.0,5.0,-,8 8 7 6 6 1,2.19.49,27.0,2016-01-13,1,5,2200,GOOD,BOWRINGTON HANDICAP,TURF - B COURSE,600000,Happy Valley,辣得醒(N090),何澤堯,霍利時,2,好地,寶靈頓讓賽,草地 - B 賽道,跑馬地
40,0,1,4.0,FISH N' CHIPS(T099),M L Yeung,A Lee,124.0,1097.0,1.0,-,8 5 1,0.56.88,15.0,2016-01-17,1,4,1000,GOOD TO YIELDING,CARPENTER HANDICAP,TURF - C+3 COURSE,800000,Sha Tin,炸魚薯條(T099),楊明綸,李易達,1,好地至黏地,賈炳達讓賽,草地 - C+3 賽道,沙田
41,0,1,5.0,MISSION POSSIBLE(V043),J Moreira,C S Shum,127.0,958.0,1.0,-,3 3 1,1.10.37,1.7,2016-01-20,1,4,1200,GOOD,HANSHIN HANDICAP,TURF - C COURSE,800000,Happy Valley,段段有(V043),莫雷拉,沈集成,1,好地,阪神讓賽,草地 - C 賽道,跑馬地
42,0,1,13.0,MIZZEN GREY(N192),S de Sousa,T K Ng,115.0,1063.0,12.0,-,7 10 10 5 1,1.52.74,14.0,2016-01-24,1,5,1800,WET SLOW,HUNG SHUI KIU HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,彩利(N192),蘇兆輝,吳定強,1,濕慢地,洪水橋讓賽,全天候跑道,沙田
43,0,1,1.0,KIM GLORY(S087),S de Sousa,D Cruz,133.0,1203.0,14.0,-,3 2 1,0.58.67,5.2,2016-01-31,1,5,1000,GOOD,FELLOWSHIP HANDICAP,TURF - A+3 COURSE,600000,Sha Tin,金威利(S087),蘇兆輝,告達理,1,好地,友誼至上讓賽,草地 - A+3 賽道,沙田
44,0,1,5.0,YEUNG SING(P001),K Teetan,K W Lui,126.0,1124.0,2.0,-,6 7 6 1,1.42.08,6.1,2016-02-03,1,5,1650,GOOD,QUEENSWAY HANDICAP,TURF - A COURSE,600000,Happy Valley,公証揚聖(P001),田泰安,呂健威,1,好地,金鐘道讓賽,草地 - A 賽道,跑馬地
45,0,1,1.0,AMBITIOUS SPEEDY(T063),R Moore,A Lee,133.0,1170.0,3.0,-,4 3 3 1,1.23.41,3.2,2016-02-06,1,5,1400,GOOD,WAI YIP HANDICAP,TURF - B+2 COURSE,600000,Sha Tin,駕迅(T063),莫雅,李易達,1,好地,偉業讓賽,草地 - B+2 賽道,沙田
46,0,1,3.0,DRAGON HARMONY(T283),Y T Cheng,J Moore,132.0,1165.0,5.0,-,1 1 1 1,1.39.68,25.0,2016-02-14,1,5,1650,GOOD,DAFFODIL HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,合拍飛龍(T283),鄭雨滇,約翰摩亞,1,好地,水仙花讓賽,全天候跑道,沙田
47,0,1,10.0,PERFECT SMART(S413),G Mosse,C W Chang,121.0,1055.0,5.0,-,4 4 1,0.58.42,10.0,2016-02-17,1,5,1000,GOOD,FANLING HANDICAP,TURF - B COURSE,600000,Happy Valley,你同我定(S413),巫斯義,鄭俊偉,1,好地,粉嶺讓賽,草地 - B 賽道,跑馬地
48,0,1,7.0,OCEAN ROAR(N317),M L Yeung,A Lee,125.0,1197.0,1.0,-,1 1 1,0.57.61,5.0,2016-02-24,1,4,1000,GOOD,TSUI MAN HANDICAP,TURF - C COURSE,800000,Happy Valley,海之濤(N317),楊明綸,李易達,1,好地,聚文讓賽,草地 - C 賽道,跑馬地
49,0,1,1.0,ONE OF A KIND(M391),J Moreira,C H Yip,133.0,1103.0,8.0,-,6 8 9 9 1,1.51.09,3.4,2016-03-02,1,5,1800,GOOD,FA HUI HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,自成一格(M391),莫雷拉,葉楚航,1,好地,花墟讓賽,草地 - C+3 賽道,跑馬地
50,0,1,2.0,MISTER MARC(P316),H N Wong,Y S Tsui,126.0,1104.0,11.0,-,4 2 2 1,1.39.76,6.7,2016-03-06,1,5,1650,GOOD,GUIA HILL HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,故事(P316),黃皓楠,徐雨石,1,好地,松山讓賽,全天候跑道,沙田
51,0,1,12.0,FOREVER FUN(S130),N Callan,A Schutz,120.0,1026.0,1.0,-,5 2 1,1.10.72,4.4,2016-03-09,1,5,1200,GOOD TO YIELDING,LUARD HANDICAP,TURF - A COURSE,600000,Happy Valley,盈喜悅(S130),郭能,孫達志,1,好地至黏地,盧押讓賽,草地 - A 賽道,跑馬地
52,0,1,1.0,CHANCELLOR(M347),J Moreira,A S Cruz,133.0,1164.0,4.0,-,1 2 3 3 1,1.49.22,2.7,2016-03-13,1,5,1800,GOOD,CLARKE QUAY HANDICAP,TURF - C+3 COURSE,600000,Sha Tin,好好機會(M347),莫雷拉,告東尼,1,好地,克拉碼頭讓賽,草地 - C+3 賽道,沙田
53,0,1,2.0,OCTAL LUCK(T205),B Prebble,A Lee,133.0,1256.0,8.0,-,7 7 1,0.57.84,36.0,2016-03-16,1,5,1000,GOOD,POTTINGER HANDICAP,TURF - B COURSE,600000,Happy Valley,八運(T205),柏寶,李易達,1,好地,砵甸乍讓賽,草地 - B 賽道,跑馬地
54,0,1,5.0,GO-GETTER(S303),J Moreira,J Size,125.0,1129.0,8.0,-,8 8 9 1,1.40.72,4.8,2016-03-23,1,4,1650,GOOD TO YIELDING,HOLLY HANDICAP,TURF - C COURSE,800000,Happy Valley,勝利威(S303),莫雷拉,蔡約翰,1,好地至黏地,冬青讓賽,草地 - C 賽道,跑馬地
55,0,1,8.0,EASY AHEAD(K212),T H So,L Ho,116.0,1102.0,12.0,-,10 11 1,1.09.59,21.0,2016-03-28,1,5,1200,GOOD,CINERARIA HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,輕越直前(K212),蘇狄雄,何良,1,好地,富貴菊讓賽,全天候跑道,沙田
56,0,1,10.0,FUNNY FORTUNE(P227),T H So,L Ho,120.0,1105.0,1.0,-,3 4 3 1,1.41.83,4.3,2016-03-31,1,5,1650,GOOD,CAUSEWAY BAY HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,得意財星(P227),蘇狄雄,何良,1,好地,銅鑼灣讓賽,草地 - C+3 賽道,跑馬地
57,0,1,5.0,MOLLY'S JADE STAR(T216),Z Purton,P F Yiu,128.0,1153.0,9.0,-,3 2 2 1,1.22.23,1.6,2016-04-03,1,4,1400,GOOD,PLANTATION HANDICAP,TURF - B+2 COURSE,800000,Sha Tin,翡翠紅星(T216),潘頓,姚本輝,1,好地,種植讓賽,草地 - B+2 賽道,沙田
58,0,1,9.0,BEAR RAPPER(S337),K Teetan,D E Ferraris,124.0,1178.0,1.0,-,5 3 1,1.09.15,7.0,2016-04-06,1,4,1200,GOOD,MIRS BAY HANDICAP,ALL WEATHER TRACK,800000,Sha Tin,至叻熊(S337),田泰安,霍利時,1,好地,大鵬灣讓賽,全天候跑道,沙田
59,0,1,3.0,LOOK ERAS(V123),Y T Cheng,Y S Tsui,129.0,1020.0,5.0,-,3 3 1,0.56.61,4.2,2016-04-10,1,1,1000,GOOD TO YIELDING,JINYU HUTONG PLATE,TURF - C COURSE,800000,Sha Tin,阿凡達(V123),鄭雨滇,徐雨石,1,好地至黏地,金魚胡同平磅賽,草地 - C 賽道,沙田
60,0,1,7.0,GIDDY GIDDY(S367),O Doleuze,J Size,125.0,1108.0,10.0,-,1 2 1,0.57.51,8.4,2016-04-13,1,5,1000,GOOD TO YIELDING,EAST POINT HANDICAP,TURF - A COURSE,600000,Happy Valley,飛霞(S367),杜利萊,蔡約翰,1,好地至黏地,東角讓賽,草地 - A 賽道,跑馬地
61,0,1,9.0,NOVEL START(M255),N Callan,T K Ng,125.0,1070.0,3.0,-,4 3 2 1,1.39.81,17.0,2016-04-16,1,5,1650,GOOD,THE BEST FOOT FORWARD HANDICAP,ALL WEATHER TRACK,600000,Sha Tin,元豐泰(M255),郭能,吳定強,1,好地,「足」動潛能讓賽,全天候跑道,沙田
62,0,1,7.0,GLAMOROUS RYDER(S007),K K Chiong,P O'Sullivan,111.0,1086.0,12.0,-,2 2 2 4 1,1.51.21,14.0,2016-04-20,1,5,1800,GOOD,ICE HOUSE STREET HANDICAP,TURF - B COURSE,600000,Happy Valley,尚華盛甲(S007),蔣嘉琦,蘇保羅,1,好地,雪廠街讓賽,草地 - B 賽道,跑馬地
63,0,1,1.0,AMAZING ALWAYS(N432),J Moreira,D E Ferraris,133.0,1146.0,4.0,-,7 7 6 1,1.22.83,3.4,2016-04-24,1,5,1400,GOOD,AUDEMARS PIGUET ROYAL OAK OFFSHORE HANDICAP,TURF - A COURSE,600000,Sha Tin,常妙星(N432),莫雷拉,霍利時,1,好地,愛彼ＲＯＹＡＬ　ＯＡＫ　ＯＦＦＳＨＯＲＥ讓賽,草地 - A 賽道,沙田
64,0,1,4.0,FUNNY FORTUNE(P227),T H So,L Ho,125.0,1125.0,6.0,-,2 3 3 1,1.40.44,8.0,2016-04-27,1,5,1650,GOOD,ULSAN HANDICAP,TURF - C COURSE,600000,Happy Valley,得意財星(P227),蘇狄雄,何良,1,好地,蔚山讓賽,草地 - C 賽道,跑馬地
65,0,1,5.0,BEAR CHUM(V203),K Teetan,D E Ferraris,117.0,1180.0,5.0,-,1 2 1,0.57.19,5.8,2016-05-01,1,1,1000,GOOD,BERING SEA PLATE,TURF - B COURSE,800000,Sha Tin,兄弟熊(V203),田泰安,霍利時,1,好地,白令海平磅賽,草地 - B 賽道,沙田
66,0,1,8.0,KHARU(K411),K C Leung,L Ho,116.0,1101.0,4.0,-,1 1 1 1,1.42.01,30.0,2016-05-04,1,5,1650,GOOD,CORNWALL HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,莫己若(K411),梁家俊,何良,1,好地,歌和老讓賽,草地 - C+3 賽道,跑馬地
67,0,1,9.0,RUGBY DIAMOND(S432),Z Purton,W Y So,127.0,1036.0,5.0,-,1 1 1,1.10.13,5.2,2016-05-18,1,5,1200,GOOD,HO CHUNG RIVER HANDICAP,TURF - B COURSE,600000,Happy Valley,欖球鑽石(S432),潘頓,蘇偉賢,1,好地,蠔涌河讓賽,草地 - B 賽道,跑馬地
68,0,1,6.0,MAMBO ROCK(V050),Z Purton,D J Hall,126.0,1098.0,6.0,-,7 5 1,1.11.00,21.0,2016-05-22,1,1,1200,GOOD,MIGHTY HIGH PLATE,TURF - A COURSE,800000,Sha Tin,鎏金驃(V050),潘頓,賀賢,1,好地,火龍駒平磅賽,草地 - A 賽道,沙田
69,0,1,2.0,TIANHUANG(T303),D Whyte,J Moore,131.0,1104.0,11.0,-,7 7 1,1.09.45,13.0,2016-05-29,1,4,1200,GOOD,TATE'S CAIRN HANDICAP,TURF - A+3 COURSE,800000,Sha Tin,田黃(T303),韋達,約翰摩亞,1,好地,大老山讓賽,草地 - A+3 賽道,沙田
70,0,1,5.0,FAITHFUL BOY(T089),C Schofield,Y S Tsui,129.0,1067.0,10.0,-,3 1 1 1,1.40.84,6.4,2016-06-01,1,5,1650,GOOD,MOUNT CAMERON HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,非凡者(T089),史卓豐,徐雨石,1,好地,金馬倫山讓賽,草地 - C+3 賽道,跑馬地
71,0,1,4.0,TRAVEL NUMBER ONE(T212),H N Wong,C H Yip,121.0,1129.0,1.0,-,1 1 1,1.08.87,6.1,2016-06-05,1,4,1200,FAST,HKU FOUNDATION HANDICAP,ALL WEATHER TRACK,800000,Sha Tin,旅遊一哥(T212),黃皓楠,葉楚航,1,快地,香港大學基金讓賽,全天候跑道,沙田
72,0,1,5.0,CALL ME HANDSOME(V331),Z Purton,D J Hall,126.0,1074.0,8.0,-,10 7 1,0.56.58,6.2,2016-06-12,1,1,1000,YIELDING,BALSAMINE PLATE,TURF - C COURSE,800000,Sha Tin,可人兒(V331),潘頓,賀賢,1,黏地,鳳仙花平磅賽,草地 - C 賽道,沙田
73,0,1,5.0,CASA MASTER(T160),Z Purton,C S Shum,128.0,1139.0,9.0,-,9 11 8 1 1,1.49.59,2.7,2016-06-15,1,5,1800,GOOD TO FIRM,ARBUTHNOT HANDICAP,TURF - B COURSE,600000,Happy Valley,領航大師(T160),潘頓,沈集成,1,好地至快地,亞畢諾讓賽,草地 - B 賽道,跑馬地
74,0,1,1.0,DANCING FLAMES(V005),J Moreira,C S Shum,133.0,1102.0,5.0,-,2 1 1,0.55.72,3.5,2016-06-19,1,4,1000,GOOD TO FIRM,RUBY HANDICAP,TURF - C+3 COURSE,800000,Sha Tin,港林飛魚(V005),莫雷拉,沈集成,1,好地至快地,紅寶石讓賽,草地 - C+3 賽道,沙田
75,0,1,6.0,PAKISTAN STAR(V325),M Chadwick,A S Cruz,126.0,1134.0,14.0,-,14 14 1,1.09.35,16.0,2016-07-01,1,1,1200,GOOD TO FIRM,RACING GOES ON PLATE,TURF - A+3 COURSE,800000,Sha Tin,巴基之星(V325),蔡明紹,告東尼,1,好地至快地,馬照跑平磅賽,草地 - A+3 賽道,沙田
76,0,1,7.0,FOREVER FUN(S130),H N Wong,A Schutz,122.0,1030.0,12.0,-,4 3 1,1.10.56,15.0,2016-07-06,1,5,1200,GOOD,BULLDOZER HANDICAP,TURF - A COURSE,600000,Happy Valley,盈喜悅(S130),黃皓楠,孫達志,1,好地,我來也讓賽,草地 - A 賽道,跑馬地
